macrosegmento;fascia;valore
RESIDENZIALI;F1;0.36313944926325
RESIDENZIALI;F2;0.28466292744452
RESIDENZIALI;F3;0.35219762329222
CONDOMINIO;F1;0.42008465654789
CONDOMINIO;F2;0.25586460924987
CONDOMINIO;F3;0.32405073420224
MICROBUSINESS;F1;0.37430133879022
MICROBUSINESS;F2;0.27900397404419
MICROBUSINESS;F3;0.34669468716559
MULTISITO;F1;0.38922374301185
MULTISITO;F2;0.22486746331605
MULTISITO;F3;0.3859087936721
PUBBLICA AMMINISTRAZIONE;F1;0.3911936140123
PUBBLICA AMMINISTRAZIONE;F2;0.29607473182955
PUBBLICA AMMINISTRAZIONE;F3;0.31273165415814
IMPRESE;F1;0.46046607553985
IMPRESE;F2;0.21553365678038
IMPRESE;F3;0.32400026767977
AUTOTRAZIONE;F1;0.48802121003151
AUTOTRAZIONE;F2;0.30192327678724
AUTOTRAZIONE;F3;0.21005551318124
ND;F1;0.36313944926325
ND;F2;0.28466292744452
ND;F3;0.35219762329222
